epoch,acc@1,acc@5,train_loss,val_loss
340,75.454,92.354,2.346,1.058
341,75.466,92.320,2.347,1.057
342,75.444,92.320,2.344,1.057
343,75.470,92.320,2.342,1.057
344,75.522,92.348,2.341,1.057
345,75.538,92.332,2.343,1.058
346,75.516,92.338,2.341,1.057
347,75.530,92.336,2.338,1.058
348,75.524,92.352,2.338,1.058
349,75.536,92.376,2.337,1.058
350,75.538,92.394,2.338,1.058
351,75.544,92.364,2.334,1.058
352,75.538,92.362,2.332,1.058
353,75.526,92.326,2.333,1.058
354,75.498,92.342,2.331,1.058
355,75.478,92.338,2.332,1.059
356,75.472,92.326,2.330,1.058
357,75.488,92.346,2.327,1.058
358,75.516,92.314,2.328,1.059
359,75.516,92.300,2.327,1.059
360,75.526,92.292,2.326,1.059
361,75.542,92.278,2.325,1.059
362,75.542,92.308,2.323,1.059
363,75.534,92.298,2.322,1.059
364,75.492,92.292,2.323,1.059
365,75.496,92.310,2.321,1.059
366,75.470,92.300,2.320,1.059
367,75.542,92.300,2.320,1.059
368,75.564,92.294,2.319,1.059
369,75.594,92.246,2.319,1.059
370,75.610,92.264,2.316,1.059
371,75.592,92.290,2.315,1.060
372,75.604,92.326,2.315,1.060
373,75.514,92.304,2.317,1.060
374,75.536,92.304,2.314,1.060
375,75.522,92.312,2.314,1.060
376,75.512,92.336,2.314,1.060
377,75.522,92.346,2.312,1.060
378,75.498,92.332,2.311,1.060
379,75.468,92.308,2.310,1.060
380,75.514,92.314,2.310,1.060
381,75.492,92.308,2.307,1.059
382,75.512,92.324,2.308,1.059
383,75.526,92.328,2.309,1.060
384,75.524,92.338,2.307,1.059
385,75.524,92.346,2.305,1.059
386,75.510,92.324,2.304,1.059
387,75.536,92.332,2.304,1.059
388,75.506,92.338,2.303,1.059
389,75.508,92.334,2.303,1.060
390,75.474,92.338,2.303,1.060
391,75.498,92.360,2.299,1.059
392,75.496,92.380,2.303,1.059
393,75.466,92.380,2.300,1.059
394,75.490,92.382,2.301,1.059
395,75.450,92.386,2.299,1.059
396,75.492,92.352,2.298,1.059
397,75.522,92.364,2.297,1.059
398,75.508,92.360,2.297,1.059
399,75.508,92.370,2.297,1.059
400,75.552,92.376,2.295,1.059
401,75.572,92.380,2.293,1.059
402,75.554,92.346,2.296,1.059
403,75.588,92.360,2.292,1.059
404,75.612,92.356,2.295,1.059
405,75.596,92.330,2.290,1.060
406,75.630,92.336,2.294,1.060
407,75.608,92.306,2.291,1.060
408,75.570,92.322,2.290,1.060
409,75.610,92.340,2.291,1.060
410,75.598,92.348,2.289,1.060
411,75.594,92.336,2.287,1.060
412,75.594,92.362,2.287,1.060
413,75.560,92.358,2.288,1.060
414,75.558,92.350,2.286,1.060
415,75.582,92.326,2.286,1.060
416,75.562,92.350,2.283,1.060
417,75.586,92.342,2.283,1.060
418,75.568,92.340,2.285,1.060
419,75.604,92.332,2.281,1.060
420,75.626,92.324,2.283,1.060
421,75.616,92.352,2.282,1.060
422,75.638,92.354,2.280,1.060
423,75.584,92.356,2.282,1.060
424,75.596,92.370,2.281,1.060
425,75.624,92.372,2.280,1.061
426,75.618,92.386,2.280,1.061
427,75.604,92.398,2.279,1.061
428,75.668,92.370,2.278,1.061
429,75.682,92.396,2.278,1.061
430,75.668,92.412,2.275,1.061
431,75.642,92.424,2.276,1.061
432,75.606,92.422,2.276,1.061
433,75.590,92.424,2.276,1.061
434,75.538,92.390,2.274,1.061
435,75.550,92.388,2.274,1.061
436,75.508,92.396,2.274,1.061
437,75.508,92.420,2.276,1.061
438,75.512,92.432,2.273,1.061
439,75.508,92.412,2.273,1.061
440,75.562,92.418,2.271,1.061
441,75.528,92.412,2.272,1.061
442,75.528,92.392,2.273,1.061
443,75.526,92.390,2.270,1.061
444,75.516,92.394,2.269,1.061
445,75.510,92.390,2.272,1.061
446,75.514,92.372,2.269,1.061
447,75.530,92.366,2.270,1.061
448,75.496,92.372,2.268,1.061
449,75.514,92.376,2.268,1.061
450,75.500,92.370,2.267,1.061
